                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2535,                 2.1407,                 1.1792,                0.98414,                0.58247,                0.96145,                0.68302,                      0,                    inf,                      0,               0.070309,               0.003299,               0.003299
                      1,                 1.1783,                  1.034,                 1.0989,                 0.9633,                0.98122,                0.98968,                0.72158,                      0,                    inf,                      0,               0.040276,              0.0065995,              0.0065995
                      2,                 1.2199,                 1.0128,                 1.1247,                 0.8735,                0.90773,                0.93968,                0.63753,                      0,                    inf,                      0,               0.010211,               0.009867,               0.009867
                      3,                 1.2441,                0.99806,                 1.1572,                 0.9331,                0.95305,                0.97788,                0.69489,                      0,                    inf,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2464,                0.93729,                 1.1646,                0.96851,                0.94836,                0.98913,                0.66783,                      0,                    inf,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2212,                0.84052,                 1.1498,                0.98954,                0.97653,                0.99349,                0.74239,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      6,                  1.174,                0.80639,                 1.1348,                0.95849,                0.97574,                0.98015,                0.74594,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1728,                  0.785,                 1.1351,                 0.9644,                0.96244,                0.99173,                0.71922,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.1676,                0.75521,                 1.1185,                0.98368,                0.96714,                0.99299,                 0.7416,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1159,                0.70285,                 1.1101,                0.96065,                0.97183,                0.98191,                0.78581,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.1443,                0.70081,                 1.1228,                0.97225,                0.99531,                0.99352,                0.74477,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1533,                0.71194,                 1.1305,                0.97558,                0.99061,                0.99458,                0.77586,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.1232,                0.68685,                 1.1112,                0.97716,                0.98122,                0.99126,                 0.7573,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1023,                 0.6681,                 1.0944,                0.97284,                      1,                  0.994,                0.76318,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     14,                  1.094,                0.65698,                 1.0951,                0.96838,                0.98122,                0.98966,                0.76057,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0767,                0.63739,                  1.093,                0.96602,                0.97653,                0.98703,                0.77818,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     16,                  1.073,                 0.6349,                 1.0854,                0.98301,                0.98122,                0.99252,                0.79835,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0777,                 0.6244,                 1.0865,                0.99499,                0.98592,                0.99096,                 0.8078,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     18,                 1.0852,                0.61832,                 1.0825,                0.97612,                0.98122,                 0.9931,                0.78704,                      0,                    inf,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0559,                0.61004,                 1.0751,                0.99192,                0.98122,                0.98992,                0.74834,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     20,                 1.0551,                 0.6071,                  1.079,                0.97488,                0.99061,                0.99405,                0.80038,                      0,                    inf,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0338,                0.59844,                 1.0741,                 0.9906,                0.98927,                0.99443,                0.80591,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     22,                 1.0235,                0.58115,                 1.0575,                0.96979,                0.98592,                0.99228,                0.79661,                      0,                    inf,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0314,                0.57605,                 1.0714,                0.97689,                0.99242,                0.99405,                0.81416,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     24,                 1.0072,                0.56885,                 1.0512,                0.99012,                0.99531,                0.99476,                0.79274,                      0,                    inf,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0127,                0.55422,                 1.0548,                0.99064,                0.99412,                  0.995,                0.82377,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     26,                 1.0028,                 0.5532,                  1.042,                0.99057,                0.98649,                0.99491,                0.81523,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                0.98804,                0.55369,                 1.0436,                0.98599,                0.99135,                0.99481,                0.81545,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     28,                0.98994,                0.54918,                 1.0509,                 0.9906,                0.98963,                0.99462,                0.81648,                      0,                    inf,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                0.99646,                0.54682,                 1.0467,                0.98591,                0.98554,                0.99175,                0.79441,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     30,                0.99049,                0.54854,                  1.043,                 0.9906,                0.99531,                  0.995,                0.82066,                      0,                    inf,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                0.97522,                0.54293,                 1.0415,                0.98422,                0.99531,                0.99305,                0.79897,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     32,                0.97153,                0.53203,                 1.0413,                0.99783,                0.98592,                0.99491,                0.82861,                      0,                    inf,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.9633,                0.52094,                 1.0389,                0.99523,                0.97988,                0.99428,                0.82657,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     34,                0.96356,                0.52623,                 1.0315,                0.99216,                0.98592,                0.99403,                 0.8217,                      0,                    inf,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                0.95707,                0.52484,                 1.0434,                      1,                0.99914,                  0.995,                0.81918,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     36,                0.95625,                0.51566,                 1.0288,                0.98653,                      1,                0.99453,                0.81368,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.9412,                0.51947,                 1.0252,                0.99661,                0.98592,                0.99491,                0.83443,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     38,                0.94779,                0.51191,                 1.0324,                0.98602,                0.99364,                 0.9941,                0.81371,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                0.94468,                0.51528,                 1.0368,                0.99929,                0.98592,                0.99495,                0.84624,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
